first_name,last_name,employee_id,salary,department,email
Anthony,Horton,11187,22000,Marketing,anthony.horton@datapocalypse.com
Marc,Martinez,13561,15000,Marketing,marc.martinez@datapocalypse.com
Laura,Peters,19810,17500,Engineering - Front End,laura.peters@datapocalypse.com
Vanessa,Mccullough,4858,18500,Engineering - Back End,vanessa.mccullough@datapocalypse.com
Amber,Fisher,10724,22500,Customer Research,amber.fisher@datapocalypse.com
Edward,Conway,8208,15000,Governance,edward.conway@datapocalypse.com
Timothy,Bell,19091,25000,Marketing,timothy.bell@datapocalypse.com
Cindy,Brown,3470,29500,Engineering - Back End,cindy.brown@datapocalypse.com
Mark,Hopkins,19445,15000,Customer Research,mark.hopkins@datapocalypse.com
Dennis,Hall,1164,15000,Customer Research,dennis.hall@datapocalypse.com
William,Castro,16518,15000,Governance,william.castro@datapocalypse.com
Karl,Mitchell,13481,22500,Engineering - Back End,karl.mitchell@datapocalypse.com
Darius,Park,5219,18000,Engineering - Front End,darius.park@datapocalypse.com
David,Johnson,18952,15000,Engineering - Back End,david.johnson@datapocalypse.com
Cindy,Herring,19453,31000,Marketing,cindy.herring@datapocalypse.com
Julie,White,7124,15000,Engineering - Back End,julie.white@datapocalypse.com
James,Davis,10012,22000,Marketing,james.davis@datapocalypse.com
David,Long,6025,19500,Marketing,david.long@datapocalypse.com
Joshua,Ramirez,12278,17000,Engineering - Back End,joshua.ramirez@datapocalypse.com
Rachel,Smith,6144,41000,Marketing,rachel.smith@datapocalypse.com
Cameron,Johnson,17459,24000,Distribution,cameron.johnson@datapocalypse.com
Jason,Cabrera,7026,29000,Distribution,jason.cabrera@datapocalypse.com
Jamie,Stanley,3777,15000,Customer Research,jamie.stanley@datapocalypse.com
Valerie,Robinson,133,24000,Distribution,valerie.robinson@datapocalypse.com
Katherine,Clark,8337,22500,Marketing,katherine.clark@datapocalypse.com
Melinda,Guzman,13433,27500,Engineering - Back End,melinda.guzman@datapocalypse.com
Heather,Harris,5621,15000,Customer Research,heather.harris@datapocalypse.com
Dustin,Stewart,7419,26500,Governance,dustin.stewart@datapocalypse.com
Jesse,Rowland,9975,37000,Governance,jesse.rowland@datapocalypse.com
Andrew,Diaz,7662,19000,Customer Research,andrew.diaz@datapocalypse.com
Courtney,Carr,18737,26000,Distribution,courtney.carr@datapocalypse.com
Vanessa,Robertson,3071,23000,Customer Research,vanessa.robertson@datapocalypse.com
Robert,Taylor,11369,25000,Engineering - Back End,robert.taylor@datapocalypse.com
Karen,Webster,15108,15000,Governance,karen.webster@datapocalypse.com
Benjamin,Anderson,7840,19500,Distribution,benjamin.anderson@datapocalypse.com
Christopher,Brown,13859,19500,Engineering - Back End,christopher.brown@datapocalypse.com
Tina,Henry,3612,15000,Marketing,tina.henry@datapocalypse.com
Timothy,Barker,6250,19500,Engineering - Front End,timothy.barker@datapocalypse.com
Aaron,White,11922,22500,Engineering - Front End,aaron.white@datapocalypse.com
Alejandra,Morris,13134,15000,Engineering - Back End,alejandra.morris@datapocalypse.com
David,Wilson,2565,18500,Distribution,david.wilson@datapocalypse.com
Sonya,Parker,1652,32000,Governance,sonya.parker@datapocalypse.com
Nicole,Stafford,2206,29500,Distribution,nicole.stafford@datapocalypse.com
Kristina,Lewis,8424,15500,Customer Research,kristina.lewis@datapocalypse.com
Matthew,Spencer,10602,24000,Distribution,matthew.spencer@datapocalypse.com
Desiree,Stewart,12021,29000,Governance,desiree.stewart@datapocalypse.com
Michael,White,6297,34500,Customer Research,michael.white@datapocalypse.com
Yvette,Walsh,13616,21500,Customer Research,yvette.walsh@datapocalypse.com
Samantha,Chapman,2253,23500,Customer Research,samantha.chapman@datapocalypse.com
James,Sims,6235,15000,Engineering - Front End,james.sims@datapocalypse.com
Brandi,Cooper,5861,18500,Distribution,brandi.cooper@datapocalypse.com
Christopher,Campbell,18742,27000,Customer Research,christopher.campbell@datapocalypse.com
William,Gonzales,1905,15000,Governance,william.gonzales@datapocalypse.com
Brandy,Chapman,19217,25000,Distribution,brandy.chapman@datapocalypse.com
Michael,Wood,11114,31500,Engineering - Back End,michael.wood@datapocalypse.com
Michael,Wagner,10275,22500,Engineering - Front End,michael.wagner@datapocalypse.com
Gina,Frazier,3292,15000,Customer Research,gina.frazier@datapocalypse.com
Andrew,Meyer,18727,26500,Distribution,andrew.meyer@datapocalypse.com
Sarah,Branch,17171,22000,Governance,sarah.branch@datapocalypse.com
James,Clark,12473,31500,Engineering - Back End,james.clark@datapocalypse.com
Kevin,Meyer,9390,15000,Customer Research,kevin.meyer@datapocalypse.com
Andrew,Stanley,7951,19500,Governance,andrew.stanley@datapocalypse.com
Christine,Farmer,19022,27000,Marketing,christine.farmer@datapocalypse.com
Sandra,Stevens,6466,17500,Marketing,sandra.stevens@datapocalypse.com
Richard,Bush,3338,25500,Engineering - Front End,richard.bush@datapocalypse.com
Diana,Marshall,4856,18000,Engineering - Back End,diana.marshall@datapocalypse.com
Melanie,Avila,19974,32500,Customer Research,melanie.avila@datapocalypse.com
Clinton,Garrett,7950,35500,Distribution,clinton.garrett@datapocalypse.com
Anna,Hubbard,12547,37000,Customer Research,anna.hubbard@datapocalypse.com
Grace,Griffin,13937,32000,Engineering - Back End,grace.griffin@datapocalypse.com
Morgan,Brown,1519,34000,Engineering - Front End,morgan.brown@datapocalypse.com
Cody,Daniel,5994,30500,Engineering - Front End,cody.daniel@datapocalypse.com
Melissa,Smith,7069,27000,Customer Research,melissa.smith@datapocalypse.com
Julian,James,13927,32000,Engineering - Front End,julian.james@datapocalypse.com
Elizabeth,Cox,1695,19000,Engineering - Front End,elizabeth.cox@datapocalypse.com
Debra,Byrd,10217,16500,Customer Research,debra.byrd@datapocalypse.com
Tammy,Williams,9355,33500,Engineering - Back End,tammy.williams@datapocalypse.com
Danielle,Reynolds,7032,22000,Engineering - Back End,danielle.reynolds@datapocalypse.com
Lauren,Diaz,9366,29500,Engineering - Back End,lauren.diaz@datapocalypse.com
Marcus,Alvarez,18603,23000,Engineering - Back End,marcus.alvarez@datapocalypse.com
Amber,Glenn,4794,24500,Marketing,amber.glenn@datapocalypse.com
Jacob,Rollins,2668,31000,Distribution,jacob.rollins@datapocalypse.com
Harold,Chavez,6946,32500,Governance,harold.chavez@datapocalypse.com
Andrew,Murphy,11773,35000,Engineering - Front End,andrew.murphy@datapocalypse.com
Brooke,May,19087,20500,Distribution,brooke.may@datapocalypse.com
Anthony,Brown,5333,15000,Governance,anthony.brown@datapocalypse.com
Melissa,Lucero,7442,21500,Governance,melissa.lucero@datapocalypse.com
Taylor,Martinez,18471,42500,Customer Research,taylor.martinez@datapocalypse.com
Cassandra,Peterson,18577,21000,Customer Research,cassandra.peterson@datapocalypse.com
Alexis,Allen,13100,30500,Governance,alexis.allen@datapocalypse.com
Jonathan,Campbell,11429,15000,Engineering - Back End,jonathan.campbell@datapocalypse.com
Cody,Chang,4442,15000,Engineering - Front End,cody.chang@datapocalypse.com
Ryan,Miller,16243,42000,Customer Research,ryan.miller@datapocalypse.com
Jeff,Mitchell,3129,28000,Governance,jeff.mitchell@datapocalypse.com
Tina,Whitney,4234,15000,Governance,tina.whitney@datapocalypse.com
Lisa,Mayo,14017,15000,Engineering - Back End,lisa.mayo@datapocalypse.com
James,Andersen,19234,15000,Marketing,james.andersen@datapocalypse.com
Angela,Friedman,19713,15000,Engineering - Front End,angela.friedman@datapocalypse.com
Lorraine,Villanueva,17052,26500,Governance,lorraine.villanueva@datapocalypse.com
Cheryl,Knight,17856,15000,Customer Research,cheryl.knight@datapocalypse.com
Jennifer,Hicks,19253,19500,Distribution,jennifer.hicks@datapocalypse.com
Sandra,Williams,5743,27500,Customer Research,sandra.williams@datapocalypse.com
Lauren,Berry,2475,16000,Engineering - Front End,lauren.berry@datapocalypse.com
Matthew,Navarro,187,15500,Distribution,matthew.navarro@datapocalypse.com
James,Rodgers,14361,26000,Marketing,james.rodgers@datapocalypse.com
Bobby,Irwin,1395,15000,Marketing,bobby.irwin@datapocalypse.com
